lab_name,testcode,name,addnames,paneldetails,panelnames,posttests,preparment,kind,limitations,vessel,color,volume,bloodamount,pretransportconditions,transportconditions,maxtime,addressee,testpurpose,clinicalinfo,method,processingtime,specialdays,outtermonitoring,pricecode,comments
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Pulmonary Function Test,"PFT, תפקודי ריאות מורחבים",.....,.....,.....,ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא,.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,הערכה תיפקודית של הריאות‏,"הפרעה בתפקוד הריאות יכולה לנבוע מבעיה בדפנות הנאדיות, הגורמת לירידה בחילוף הגזים ובעיקר בחמצון הדם, או מהפרעה במעבר האוויר דרך הסימפונות ואז תהיה הפרעה חסימתית והאוויר יתקשה להיכנס לנאדיות ולצאת מהן. אחת השיטות הפשוטות והיעילות לבדוק את תפקוד הריאות היא באמצעות מכשיר ספירומטר הבודק את נפח האוויר שהנבדק שואף ונושף בזמן מסוים, ואת מהירות זרימת האוויר. הנבדק שואף ונושף אוויר דרך צינור המחובר לתוף. הבדיקה הנה פשוטה אך דורשת שיתוף פעולה מלא של החולה. מטרות הבדיקות: *אבחון מחלת ריאות בחולים הסובלים מקוצר נשימה *מעקב אחר יעילות הטיפול במחלת ריאות *הערכת תפקוד הריאות לפני ניתוח *מעקב אחר תפקוד הריאות בחולים הנוטלים תרופות העשויות להשפיע בתפקוד זה., ישנם מצבים, בהם לא ניתן לאבחן את המחלה  רק באמצעות תפקודי ריאות מורחבים, ויש צורך בביצוע בדיקות מעמיקות יותר. לצורך זה מבצעים בדיקות תגר. כמו כן, במקרה של חוסר שיתוף פעולה בביצוע בדיקת תיפקודי ריאות (ילדים מתחת לגיל 6 ואנשים מבוגרים), ניתן לבצע בדיקת IOS‏",נשימות אל מכשיר יעודי,תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94360 + 94250 + 94760,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Diffusion Capacity,"DLCO, דיפוזיית פחמן חד חמצני",.....,.....,.....,"ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא. רמת המוגלבין עדכנית, רצוי מ 3 חודשים אחרונים",.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,הערכת חילופי גזים בממברנה האלוואולרית‏,"Lung diffusion testing is used to determine how well oxygen passes from the air sacs of the lungs into the blood. 
The test is performed to determine the presence and extent of certain lung diseases that affect how well gases cross from the air sacs into the bloodstream. 

",בדיקת %  ה- CO אשר עובר דרך הממברנה האלוואולרית ביחידת זמן‏,תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94720,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Spirometry,ספירומטריה,.....,.....,.....,ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא,.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,הערכה תיפקודית של הריאות‏,.....,נשימה אל מכשיר יעודי,תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94060,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Metacholine Challenge Test,תגר סימפונות על ידי מטכולין,.....,.....,.....,ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא,.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,בדיקת רגישות יתר של דרכי הנשימה‏,"במבחן ""תגר הריאות"" נותנים לנבדק לשאוף כמויות הולכות וגדלות של חומרים הגורמים להתכווצות דרכי הנשימה (מטכולין או היסטמין). אם נצפית ירידה של 15% עד 20% בתפקוד הריאה, תוך כדי שאיפת כמות ידועה של אותם חומרים, יש לחולה תגובתיות יתר של דרכי הנשימה, שהיא אחד הביטויים העיקריים של אסתמה. מרחיבי סימפונות, המחזירים את תפקוד הריאות למצבם התקין, מאשרים את האבחנה של אסתמה. משך הבדיקה תלוי בתגובה של הנבדק לחומר. אם לא ניכרת תגובתיות, הבדיקה נמשכת כשעה וחצי.",מבחן גירוי,תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94070,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Exercise,בדיקת מאמץ,.....,.....,.....,"לבוא עם נעלי ובגדי ספורט, ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא.  לא לעשן או לאכול שוקולד שעה לפני",.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,אסטמה במאמץ‏,"The question of the relationship between excercise and asthma dates back to the second century A.D. and was not resolved until R.S. Jones and co-authors in 1962 reported that there were in reality two effects on the asthmatic patient from excersice depending on the duration of the exercise. Short-term exercise of less than four minutes resulted in bronchodilatation, whereas longer-term exercise resulted in bronchoconstriction. Exercise-induced bronchospasm occurs in all ages but is more common in children, developing in 85% of boys and 65% of girls with severe asthma. Pulmonary function tests are valuable in identifying these patients as well as their response to various drugs. With this information specific recommendations may be made for the prevention and control of exercise-induced bronchospasm, thus allowing asthmatic children to cope with their peers in exercise programs and competitive sports.","נשימות אל מכשיר יעודי, ריצה קלה. מבחן מאמץ ריאתי פשוט, כולל ספירומטריה לפני ואחרי מאמץ.",תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94620,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,6MW= six minutes walk,שש דקות הליכה,.....,.....,.....,במהלך הבדיקה הנבדק משתמש בכל כלי עזר להליכה שמשמש אותו בשגרת ההליכה שלו. ,.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,ניטור הסטורציה והדופק במהלך פעילות,"מבדק זה בודק את המרחק אותו הולך הנבדק במשך 6 דקות, ומשקף את יכולת ההליכה שלו בחיי היום יום. בדיקה זו הינה אמינה וקלה לביצוע גם עבור חולים אשר מתקשים בהליכה יום יומית בגלל קוצר נשימה. הבדיקה מתבצעת בדרך כלל לפני התערבות טיפולית ומשמשת כמדד יעיל לכמת את התגובה לאותו טיפול. עקרון הבדיקה: הנבדק הולך על משטח ישר ומישורי במשך 6 דקות ומודדים את המרחק שהוא הצליח ללכת במשך פרק זמן זה. ",הליכה תוך ניטור סטורציה,תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94620,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,High Stimulation Altitude Test,HAST,.....,"בדיקת טרום טיסה מחייבת בדיקת ספירומטריה פשוטה לפני התחלת הבדיקה.  מחברים את הנבדק לחמצן 15% למשך 20 דקות, שבמהלכן עוקבים אחרי הסטורציה.",.....,ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא,.....,ביצוע הבדיקה מותנה בשיתוף פעולה מצד הנבדק. נבדקים במצוקה נשימתית לא מסוגלים לבצע את הבדיקה‏,.....,.....,.....,.....,.....,.....,.....,.....,הבדיקה מבוצעת לחולים עם מחלות כרוניות של הריאה לפני טיסה בכדי לדעת האם הם זקוקים לתוספת חמצן בזמן הטיסה. במטוס האויר מכיל רק 15% חמצן בניגוד לאוויר החופשי שמכיל 21% חמצן,.....,"מבצעים בדיקת ספירומטריה, מחברים את הנבדק לסטורציה רציפה, מחברים את הנבדק למסכה המחוברת לבלון חמצן 15% למשך 20 דקות. מפסיקים את הבדיקה כאשר הסטורציה הגיעה ל- 88% או אחרי 20 דקות.",תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,I4578,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,IOS,Impulse Oscillometry,.....,.....,.....,ללא משאפים או אנהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,זו בדיקת תיפקודי ריאות פשוטה שלא דורש מאמץ ושיתוף פעולה של הנבדק. בודק התנגדות של דרכי הנשימה. מתאים לאנשים מבוגרים מאד וילדים מכיוון שהבדיקה אינה דורשת שיתוף פעולה מצידם.,בדיקת IOS  מתאפיינת בקלות ביצוע. הנבדק נושם נשימות רגילות למשך 30-120 שניות בכדי לאבחן מחלות דרכי הנשימה.,נשימות פשוטות דרך מכשיר יעודי,תוצאה תוך שעה. פענוח תוך יום עבודה.,לא,.....,94060,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,T spot TB,Interferon Gamma Releasing Assay =IGRA,.....,.....,.....,.....,דם פריפרי,In immunocompromised patients the results may be indeterminate בחולים מדוכאי חיסון הבדיקה יכולה להיות לא ניתנת למדידה,PT Tubes סודיום ציטראט כנוגד קרישה,כחול,"5 מ""ל",.....,טמפרטורת החדר,טמפרטורת החדר,5 שעות,מעבדת ריאות,"The T‑SPOT.TB test is a revolutionary in vitro diagnostic assay that measures T cells primed to Mycobacterium tuberculosis (MTB) antigens. Based on the pioneering T-SPOT technology, it was developed for diagnosing both latent TB infection and TB disease in humans","בדיקת T Spot –TB - בודקת את מספר מוקדי התאים, אשר מפרישים אינטרפרון גמא.  בתלות במספר המוקדים יחסית למספר מסוים, ניתן לסייע לאבחן האם הנבדק נושא את חיידק השחפת (שלילי /חיובי לגילוי שחפת חבויה).
תשובה חיובית בבדיקות אלו, מאפשרות לרופא לקבוע ביתר וודאות האם חשיפה לשחפת הובילה לשחפת חבויה. מתאימה במיוחד לחולים מדוכאי חיסון. הדם נילקח לתוך מבחנות המיועדות לבדיקת קרישה (פקק תכלת) וניתן לשלוח רק את הדגימה למעבדה, ללא צורך בנוכחות הניבדק. מתן תשובה תוך 3 ימים. פרטים נוספים ומועדי קבלת תשובות ניתן לקבל במזכירות המעבדה.

‏","The T‑SPOT.TB test is a revolutionary in vitro diagnostic assay that measures T cells primed to Mycobacterium tuberculosis (MTB) antigens. Based on the pioneering T-SPOT technology, it was developed for diagnosing both latent TB infection and TB disease in humans",3 ימים,לא,…..,I7255,יש לתאם תור
,,,,,,,,,,,,,,,,,,,,,,,,,
